theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,url
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-024-B,1.1.02-024-B,4 Points,Which statements are correct?,"A. You may pass on the right-hand side at walking speed provided that passengers are not obstructed and you are sure no-one is endangered; B. If no-one is obstructed or endangered, you may pass on the right-hand side at a speed faster than walking speed; C. Passengers must allow moving traffic to pass before boarding",A. You may pass on the right-hand side at walking speed provided that passengers are not obstructed and you are sure no-one is endangered,"If you do not obstruct or endanger the passengers getting on or off the tram, you may pass the stopping tram slowly at walking speed. It is important to note that passengers have absolute priority in this situation and do not have to let moving traffic pass. If necessary, you as the vehicle driver must stop and wait.",images/1_1_02-024-B.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-024-B
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-026-B,1.1.02-026-B,4 Points,What must you heed in this situation?,A. - not overtake the bus while it is still moving; B. - pass the stationary bus at walking speed provided you are sure that passengers are not endangered; C. - overtake the bus while it is still moving,A. - not overtake the bus while it is still moving; B. - pass the stationary bus at walking speed provided you are sure that passengers are not endangered,"If a public bus or school bus has its hazard lights on and is still moving, you must not overtake it. If the bus has come to a halt at the stop, you may pass at walking pace and at an appropriate distance. This is necessary in order not to endanger the passengers getting on and off the bus. If you are travelling in the opposite lane, you must also slow down or stop to ensure the safety of the passengers.",images/1_1_02-026-B.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-026-B
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-027,1.1.02-027,4 Points,What do you have to reckon with when elderly persons using walking frames cross the road?,A. They may stop on the road; B. They may turn round and go back; C. They will cross the road slowly,A. They may stop on the road; B. They may turn round and go back; C. They will cross the road slowly,"When elderly people with walking aids cross the road, you have a higher duty of care. The principle of trust is suspended. You must expect these people to stop suddenly or turn around unexpectedly. Older people also take a comparatively long time to cross the road.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-027
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-028,1.1.02-028,4 Points,A person in a wheelchair is travelling along the road although there is a pavement on the right. What do you do?,"A. I follow behind the wheelchair until I can overtake it; B. I overtake it, leaving plenty of room on the side because the wheelchair may swing out; C. I honk the horn to indicate that the person is not behaving correctly","A. I follow behind the wheelchair until I can overtake it; B. I overtake it, leaving plenty of room on the side because the wheelchair may swing out","Disabled and elderly people sometimes do not behave in a roadworthy manner due to physical limitations. Therefore, please be especially careful and be sure to show consideration. Expect the wheelchair user to suddenly and unexpectedly swerve and drive even further into the lane. In such situations, it is not permitted to use the horn or drive around the person at high speed.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-028
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-029,1.1.02-029,4 Points,"Having crossed the road, a person in a wheelchair cannot get up the curb and onto the pavement. What do you do?",A. I stop and switch on the hazard warning lights; B. I get out of the car and help the person in the wheelchair; C. I honk the horn and drive around the person,A. I stop and switch on the hazard warning lights; B. I get out of the car and help the person in the wheelchair,"You should help the person. To do this, you may stop and switch on the hazard warning lights to warn other road users of possible dangers. It is not permitted to honk your horn and drive around the person in this situation. This would frighten and unsettle the wheelchair user.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-029
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-032,1.1.02-032,4 Points,Who has a severe visual handicap?,A. The man; B. The child; C. The woman,A. The man,You must expect a severe visual impairment in the case of persons with the following markings: If a person is wearing a yellow armband with three black dots and/or a white blind person's cane extended diagonally.,images/1_1_02-032.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-032
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-036,1.1.02-036,4 Points,What do you do?,A. Stop; B. Let the man cross the road; C. Make eye contact with the man,A. Stop; B. Let the man cross the road,"Visually impaired pedestrians often wear an armband and have a guide dog with a white driving harness with them. It is not possible to make eye contact with a visually impaired road user. Therefore, you are obliged to show special consideration here. You must stop to allow the pedestrian to cross the road safely.",images/1_1_02-036.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-036
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-037,1.1.02-037,3 Points,What must you be aware of?,A. Pedestrians crossing the road in front of the bus; B. People crossing the road from left to right to get to the bus; C. The bus will reverse suddenly,A. Pedestrians crossing the road in front of the bus; B. People crossing the road from left to right to get to the bus,"Where buses or trams wait at stops, you must always assume that people will suddenly step onto the road. Some passengers run quickly across the street to reach the bus. When passengers get off the bus, they often enter the lane surprisingly without paying attention to the traffic. Because the reversing light is not lit, you as the driver behind you can be sure that the bus will leave the bus stop driving forwards.",images/1_1_02-037.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-037
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-038-M,1.1.02-038-M,4 Points,What risks must you be aware of?,A. - proceed onto the road; B. - continue on the cycle path; C. - stop moving,A. - proceed onto the road,"Cyclists do not always behave in a way that is appropriate for traffic. Here, even if the child has previously looked to your left, he or she could ride onto the roadway. To avoid a dangerous situation, you should therefore reduce your speed and be ready to brake.",images/1_1_02-038-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-038-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-039-M,1.1.02-039-M,4 Points,How do you behave?,A. watch out for children; B. be ready to brake; C. continue driving at the same speed,A. watch out for children; B. be ready to brake,Reduce speed and watch the two children very closely. Be careful and ready to brake. Stop if the children's behaviour makes this necessary.,images/1_1_02-039-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-039-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-040-M,1.1.02-040-M,5 Points,What must you be aware of?,A. - turn to the left; B. - go to the other side of the road; C. - not impede me as I proceed,A. - turn to the left; B. - go to the other side of the road,"It is always possible that cyclists do not behave in a way that is appropriate for the traffic. A cyclist could turn left or change sides of the road without indicating this with a hand signal. If there are two cyclists, it is possible that the second will also follow the first without hand signals. Therefore, you should be ready to brake even if the cyclists continue straight ahead.",images/1_1_02-040-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-040-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-041-M,1.1.02-041-M,5 Points,What risks must you be aware of?,A. the children will not get off the road in time; B. some children will turn around again; C. all children will wait on the pavement,A. the children will not get off the road in time; B. some children will turn around again,"If a ball is lying on the road, it can be assumed that a child will come and fetch it. For you as a driver, this means: stop immediately so that the child can fetch the ball safely. With children, you have to expect that they will behave in a way that is contrary to traffic regulations and that they will not be able to assess dangers correctly.",images/1_1_02-041-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-041-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-042-M,1.1.02-042-M,5 Points,How should you behave?,A. slow to walking pace; B. remain ready to brake; C. continue driving at same speed,A. slow to walking pace; B. remain ready to brake,"The rule here is: reduce speed immediately, be ready to brake and drive slowly past the situation. It can be assumed that children who are playing are not paying attention to the traffic and are not behaving in a way that is appropriate for the traffic.",images/1_1_02-042-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-042-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-043-M,1.1.02-043-M,5 Points,How must you behave?,A. slow to walking pace immediately; B. remain ready to brake; C. drive past at the same speed,A. slow to walking pace immediately; B. remain ready to brake,"Most likely, a child will come running into the road after the ball without paying attention to the traffic. Immediately slow your vehicle down to walking speed. Be especially alert and ready to brake!",images/1_1_02-043-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-043-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-046-M,1.1.02-046-M,4 Points,"In this situation, which vehicles may drive past, at walking speed only, while ensuring there is no danger to any passengers?",A. - are travelling in the same direction; B. - are oncoming,A. - are travelling in the same direction; B. - are oncoming,"When the hazard warning lights of a bus are switched on at a bus stop, all vehicles in both directions must pass the bus at walking speed. There shall be no danger to or obstruction of passengers boarding or alighting the bus.",images/1_1_02-046-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-046-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-048-M,1.1.02-048-M,5 Points,What should you do now?,A. I slow down to walking pace; B. I remain ready to brake; C. I overtake [the cyclist],A. I slow down to walking pace; B. I remain ready to brake,"Since there are children both on the left and right on the street, you should brake to walking pace and remain ready to brake.",images/1_1_02-048-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-048-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-049,1.1.02-049,4 Points,What should you do in this situation?,A. I perform an emergency braking manoeuvre; B. I sound my horn and continue driving; C. I accelerate,A. I perform an emergency braking manoeuvre,"Immediately perform emergency braking to prevent a collision with the cyclist coming from the left. Continuing to ride would be dangerous in the situation, even though the traffic lights are green in your direction.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-049
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-050-M,1.1.02-050-M,5 Points,Why must you drive slowly here and be ready to brake?,A. Because the traffic situation is confusing; B. Because there is a child on the carriageway; C. Because [the white van] is moving off,A. Because the traffic situation is confusing; B. Because there is a child on the carriageway,"The child behind the van on the left runs towards the roadway. You cannot see whether it will stop. Therefore, be especially attentive and careful in this unclear traffic situation. Drive slowly and be ready to brake.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-050-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-051-M,1.1.02-051-M,4 Points,What is the correct course of action in this situation?,"A. I stop and allow the person to cross the road; B. I drive to the left past the person, leaving sufficient clearance space; C. I flash my headlights to signal to the person that I am giving way",A. I stop and allow the person to cross the road,"The man is wearing a yellow armband and has a guide dog with him. He is blind or visually impaired and cannot see the traffic situation. Special care must be taken for blind people. Therefore, you must let him cross the road in front of you.",images/1_1_02-051-M.png,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-051-M
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-052,1.1.02-052,4 Points,Why must you anticipate that children might behave unpredictably in road traffic situations?,A. - are easily distracted; B. - are frequently unable to fully grasp the road traffic situation; C. - are frequently unable to correctly detect the direction from which a sound is coming,A. - are easily distracted; B. - are frequently unable to fully grasp the road traffic situation; C. - are frequently unable to correctly detect the direction from which a sound is coming,"Children often behave unpredictably, which is why other road users always have to count on the unexpected. Due to external stimuli in the environment, small children are constantly distracted from the road and traffic. They continuously let their eyes hike in the area and get stuck with interesting events or objects. The noise perception also only develops in the course of life and is only available to a limited extent in children. That is why children can usually not assign the many noises in road traffic to a certain direction and it is more difficult for them to assess them purely acoustically from which direction a vehicle approaches.
In addition to the perception of the direction, the perception of distances, speeds and braking distance in childhood is not yet fully pronounced. Therefore, children can often only overlook the traffic situation incompletely.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-052
Theme 1.1.,Danger Teaching,1.1.02 Chapter,Behavior Towards Pedestrians,1.1.02-107,1.1.02-107,4 Points,A child is walking on the pavement with a dog on a lead. Can this cause a dangerous situation?,"A. Yes, if the dog suddenly runs onto the roadway and pulls the child along behind; B. Yes, if the dog tears away and the child runs after the dog; C. No, because dogs are afraid of traffic","A. Yes, if the dog suddenly runs onto the roadway and pulls the child along behind; B. Yes, if the dog tears away and the child runs after the dog","Dangerous situations can arise here. The dog could break loose, and the child could run after him. It would also be conceivable that the dog would run onto the road, and the child would pull along. They should, therefore, drive slowly and be ready to brake.",,https://www.clickclickdrive.de/fragenkatalog/en/1.1.-danger-teaching/1.1.02-behavior-towards-pedestrians/1.1.02-107
