theme_number,theme_name,chapter_number,chapter_name,question_id,question_number,points,question_text,options,correct_answers,comment,image_paths,video_paths,url
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-109,1.1.01-109,4 Punkte,"Was ist zu tun, wenn Sie während der Fahrt Anzeichen von Müdigkeit spüren?",A. Unverzüglich eine Pause einlegen; B. Sich an frischer Luft bewegen; C. Anregende Musik hören,A. Unverzüglich eine Pause einlegen; B. Sich an frischer Luft bewegen,"Da Müdigkeit während der Autofahrt zu gefährlichen Situationen führen kann, sollten Sie bei längeren Strecken ausreichend Pausen einplanen. Während dieser Erholungsphase empfiehlt sich ein Spaziergang an der frischen Luft, um den Kreislauf wieder in Schwung zu bringen.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-109
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-110,1.1.01-110,4 Punkte,Wie wirkt sich Müdigkeit beim Fahren aus?,A. Nachlassende Aufmerksamkeit; B. Eingeschränkte Wahrnehmung; C. Verzögerte Reaktionen,A. Nachlassende Aufmerksamkeit; B. Eingeschränkte Wahrnehmung; C. Verzögerte Reaktionen,"Durch Müdigkeit am Steuer steigt das Unfallrisiko aus folgenden Gründen: Mit der Konzentration lässt die Aufmerksamkeit spürbar nach; die Wahrnehmung ist eingeschränkt, die Reaktion deutlich verzögert.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-110
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-111,1.1.01-111,4 Punkte,Wodurch kann eine gefährliche Situation entstehen?,A. Durch liegen gebliebene Fahrzeuge; B. Durch nicht angepasste Geschwindigkeit; C. Durch eingeschaltete Beleuchtung am Tage,A. Durch liegen gebliebene Fahrzeuge; B. Durch nicht angepasste Geschwindigkeit,"Ein Hauptgrund für eine Gefährdung im Straßenverkehr ist zu schnelles Fahren. Dies gilt insbesondere für Anfänger, die dann leicht die Kontrolle über ihr Fahrzeug verlieren. Andere Verkehrsteilnehmer sind auf eine unerwartet hohe Geschwindigkeit oft nicht vorbereitet. Doch auch ein zu geringes Fahrtempo kann eine Gefährdung darstellen, da sich in diesem Fall riskante Überholmanöver und Auffahrunfälle häufen. Darüber hinaus können stehen gebliebene Fahrzeuge zu einem gefährlichen Hindernis werden. Um von anderen Fahrern besser gesehen zu werden, hilft es, die Beleuchtung Ihres Fahrzeugs auch tagsüber einzuschalten.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-111
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-112,1.1.01-112,4 Punkte,Was kann zum Abkommen von der Fahrbahn führen?,A. Ablenkung; B. Unaufmerksamkeit; C. Müdigkeit,A. Ablenkung; B. Unaufmerksamkeit; C. Müdigkeit,"Häufig kommen Fahrer durch Unaufmerksamkeit oder Unkonzentriertheit von der Fahrbahn ab. Auch Ablenkungen, etwa das Telefonieren mit dem Handy, können zu solchen Fahrfehlern führen. Eine dritte Ursache für das Abkommen von der Straße ist Müdigkeit in Verbindung mit Sekundenschlaf.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-112
Thema 1.1.,Gefahrenlehre,1.1.01 Kapitel,Grundformen Des Verkehrsverhaltens,1.1.01-113,1.1.01-113,4 Punkte,Was führt häufig zu schweren Unfällen?,A. Eine mangelhafte Beobachtung des Verkehrs; B. Ein Fahren mit zu geringem Abstand; C. Eine unangepasste Geschwindigkeit,A. Eine mangelhafte Beobachtung des Verkehrs; B. Ein Fahren mit zu geringem Abstand; C. Eine unangepasste Geschwindigkeit,"Schwere Unfälle resultieren häufig: durch riskante Überholmanöver und Auffahrunfälle durch unnötiges Langsamfahren, durch Müdigkeit und verzögerte Reaktionen sowie durch Kinder, die unvorhersehbar und unüberlegt handeln.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.01-grundformen-des-verkehrsverhaltens/1.1.01-113
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-004,1.1.02-004,4 Punkte,"Womit ist zu rechnen, wenn man sich Kindern nähert?",A. Mit unüberlegtem Verhalten der Kinder; B. Mit schnellem und richtigem Reagieren der Kinder; C. Mit verkehrsgerechtem Verhalten der Kinder,A. Mit unüberlegtem Verhalten der Kinder,"Kinder können sich jederzeit unüberlegt verhalten und sind aus diesem Grund vom Vertrauensgrundsatz gegenüber anderen Verkehrsteilnehmern ausgenommen. Wenn sich Kinder nähern, müssen Sie daher Ihre Geschwindigkeit reduzieren, um bremsbereit zu sein.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-004
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-005,1.1.02-005,5 Punkte,Mit welchem Verhalten von Kindern müssen Sie an Zebrastreifen rechnen?,"A. Sie laufen auf den Zebrastreifen, ohne auf den Verkehr zu achten; B. Sie kehren ohne erkennbaren Grund auf dem Zebrastreifen um und laufen zurück; C. Sie schätzen Geschwindigkeit und Entfernung herannahender Fahrzeuge immer richtig ein und warten am Fahrbahnrand","A. Sie laufen auf den Zebrastreifen, ohne auf den Verkehr zu achten; B. Sie kehren ohne erkennbaren Grund auf dem Zebrastreifen um und laufen zurück","Kinder haben grundsätzlich nicht die nötige Ausbildung, um sich im Straßenverkehr immer regelkonform zu verhalten. Daher ist es ohne Weiteres denkbar, dass sie die Bedeutung eines Zebrastreifens nicht kennen und trotz herannahender Fahrzeuge die Straße betreten oder nach deren Überquerung plötzlich zurücklaufen.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-005
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-009-B,1.1.02-009-B,5 Punkte,Wie müssen Sie sich verhalten?,"A. Sofort stark bremsen und bremsbereit bleiben; B. Mit gleicher Geschwindigkeit weiterfahren, weil die Kinder bestimmt stehen bleiben; C. Mit gleicher Geschwindigkeit weiterfahren, um einen Nachfolgenden nicht zu behindern",A. Sofort stark bremsen und bremsbereit bleiben,"Wenn plötzlich ein Kind über die Straße rennt, ohne auf den Verkehr zu achten, sollten Sie sofort Ihre Geschwindigkeit drosseln und bremsbereit weiterfahren. Achten Sie auch darauf, ob weitere Kinder folgen. Es ist unbedingt erforderlich, im Schritttempo zu bleiben, um, falls nötig, ganz anhalten zu können.",images/1_1_02-009-B.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-009-B
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-022,1.1.02-022,4 Punkte,"Womit ist zu rechnen, wenn Kinder an einer Ampel warten?","A. - schon losrennen, wenn die Ampel in meiner Fahrtrichtung von Grün auf Gelb umschaltet; B. - auch bei Rot loslaufen, weil es ihnen zu lange dauert; C. - sich gegenseitig auf die Fahrbahn schubsen","A. - schon losrennen, wenn die Ampel in meiner Fahrtrichtung von Grün auf Gelb umschaltet; B. - auch bei Rot loslaufen, weil es ihnen zu lange dauert; C. - sich gegenseitig auf die Fahrbahn schubsen","Aufgrund mangelnder Lebenserfahrung sowie unzureichender Ausbildung verhalten sich Kinder im Straßenverkehr nicht immer regelkonform und geraten beispielsweise während einer Rangelei auf die Fahrbahn. Ferner müssen Sie damit rechnen, dass Kinder plötzlich über die Straße laufen, selbst wenn ihre Ampel noch Rot zeigt oder die des Querverkehrs gerade umspringt.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-022
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-023,1.1.02-023,4 Punkte,"Ein Radweg, auf dem eine Gruppe von Kindern fährt, endet. Womit muss gerechnet werden?","A. - bedenkenlos auf die Fahrbahn wechseln; B. - zu weit in die Fahrbahn kommen; C. - absteigen und warten, bis alles frei ist",A. - bedenkenlos auf die Fahrbahn wechseln; B. - zu weit in die Fahrbahn kommen,"Insbesondere Kinder, die mit den Verkehrsregeln grundsätzlich nicht übermäßig vertraut sind, neigen zu unvorhersehbaren Manövern. Daher sollten Sie vor allem am Ende eines Radweges darauf achten, dass die jungen Verkehrsteilnehmer ohne Vorwarnung auf die Straße fahren könnten. Ferner kommt es häufig vor, dass Kinder in Gruppen nebeneinander fahren und dadurch teilweise auf Ihre Fahrbahn ausscheren.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-023
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-024-B,1.1.02-024-B,4 Punkte,Was ist hier richtig?,"A. Man darf mit Schrittgeschwindigkeit rechts vorbeifahren, wenn Fahrgäste nicht behindert werden und eine Gefährdung ausgeschlossen ist; B. Wenn niemand behindert oder gefährdet wird, darf man rechts auch schneller als mit Schrittgeschwindigkeit vorbeifahren; C. Die Fahrgäste müssen vor dem Einsteigen den fließenden Verkehr durchlassen","A. Man darf mit Schrittgeschwindigkeit rechts vorbeifahren, wenn Fahrgäste nicht behindert werden und eine Gefährdung ausgeschlossen ist","Wenn Sie die ein- oder aussteigenden Fahrgäste nicht behindern oder gefährden, dürfen Sie an der haltenden Straßenbahn langsam mit Schrittgeschwindigkeit vorbeifahren. Wichtig ist dabei: Die Fahrgäste haben in dieser Situation den absoluten Vorrang und müssen den fließenden Verkehr nicht durchlassen. Falls es notwendig ist, müssen Sie als Fahrzeugführer anhalten und warten.",images/1_1_02-024-B.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-024-B
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-026-B,1.1.02-026-B,4 Punkte,Was müssen Sie in dieser Situation beachten?,"A. - den Bus so lange nicht überholen, wie er noch fährt; B. - an dem haltenden Bus mit Schrittgeschwindigkeit vorbeifahren, wenn eine Gefährdung von Fahrgästen ausgeschlossen ist; C. - den Bus überholen, solange er noch fährt","A. - den Bus so lange nicht überholen, wie er noch fährt; B. - an dem haltenden Bus mit Schrittgeschwindigkeit vorbeifahren, wenn eine Gefährdung von Fahrgästen ausgeschlossen ist","Wenn ein Linienbus oder Schulbus die Warnblinkanlage eingeschaltet hat und noch fährt, dürfen Sie ihn nicht überholen. Ist der Bus an der Haltestelle zum Stehen gekommen, können Sie im Schritttempo und in gebührendem Abstand vorbeifahren. Dies ist nötig, um die ein- und aussteigenden Fahrgäste nicht zu gefährden. Sind Sie auf der Gegenfahrbahn unterwegs, müssen Sie ebenfalls die Geschwindigkeit drosseln oder anhalten, um die Sicherheit der Fahrgäste zu gewährleisten.",images/1_1_02-026-B.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-026-B
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-027,1.1.02-027,4 Punkte,"Womit müssen Sie rechnen, wenn ältere Personen mit Gehhilfe die Fahrbahn überqueren?",A. Dass sie auf der Fahrbahn stehen bleiben; B. Dass sie auf der Fahrbahn umkehren; C. Dass sie die Fahrbahn langsam überqueren,A. Dass sie auf der Fahrbahn stehen bleiben; B. Dass sie auf der Fahrbahn umkehren; C. Dass sie die Fahrbahn langsam überqueren,"Wenn ältere Personen mit Gehhilfe die Straße überqueren, gilt für Sie erhöhte Sorgfaltspflicht. Der Vertrauensgrundsatz ist aufgehoben. Sie müssen damit rechnen, dass diese Personen plötzlich stehen bleiben oder unerwartet wieder umdrehen. Auch brauchen ältere Menschen beim Überqueren der Fahrbahn vergleichsweise lange.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-027
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-028,1.1.02-028,4 Punkte,Trotz vorhandenen Gehweges auf der rechten Straßenseite fährt eine Person im Rollstuhl auf der Straße. Wie verhalten Sie sich?,"A. Ich fahre so lange hinterher, bis ich überholen kann; B. Ich überhole mit großem Seitenabstand, weil ich mit Ausweichbewegungen rechnen muss; C. Ich mache die Person durch Hupen darauf aufmerksam, dass sie sich falsch verhält","A. Ich fahre so lange hinterher, bis ich überholen kann; B. Ich überhole mit großem Seitenabstand, weil ich mit Ausweichbewegungen rechnen muss","Behinderte und ältere Personen verhalten sich aufgrund körperlicher Einschränkungen manchmal nicht verkehrsgerecht. Seien Sie deshalb bitte besonders vorsichtig und nehmen Sie unbedingt Rücksicht. Rechnen Sie damit, dass der Rollstuhlfahrer plötzlich und unerwartet ausweicht und noch weiter auf die Fahrbahn fährt. Es ist in solchen Situationen nicht erlaubt, die Hupe zu benutzen oder um die Person mit hoher Geschwindigkeit herumzufahren.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-028
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-029,1.1.02-029,4 Punkte,"Eine Person im Rollstuhl schafft es nach dem Überqueren der Straße nicht, mit dem Rollstuhl den Bordstein zu überwinden, um den Gehweg zu erreichen. Wie verhalten Sie sich?",A. Ich halte und schalte die Warnblinkanlage ein; B. Ich steige aus und helfe der Person im Rollstuhl; C. Ich hupe und fahre um die Person herum,A. Ich halte und schalte die Warnblinkanlage ein; B. Ich steige aus und helfe der Person im Rollstuhl,"Sie sollten der Person helfen. Dafür dürfen Sie anhalten und die Warnblinkanlage einschalten, um andere Verkehrsteilnehmer vor möglichen Gefahren zu warnen. Es ist nicht erlaubt, in dieser Situation zu hupen und um die Person herumzufahren. Dadurch würden Sie den Rollstuhlfahrer erschrecken und verunsichern.",,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-029
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-032,1.1.02-032,4 Punkte,Bei welcher Person müssen Sie mit einer schweren Sehbehinderung rechnen?,A. Dem Mann; B. Dem Kind; C. Der Frau,A. Dem Mann,"Bei Personen mit folgenden Kennzeichen müssen Sie mit einer schweren Sehbehinderung rechnen: Wenn eine Person eine gelbe Armbinde mit drei schwarzen Punkten und/oder einen weißen, schräg vorgestreckten Blindenstock trägt.",images/1_1_02-032.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-032
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-036,1.1.02-036,4 Punkte,Wie verhalten Sie sich?,A. Anhalten; B. Den Mann die Straße überqueren lassen; C. Blickkontakt aufnehmen,A. Anhalten; B. Den Mann die Straße überqueren lassen,"Sehbehinderte Fußgänger tragen häufig eine Armbinde und haben einen Blindenhund mit weißem Fahrgeschirr bei sich. Es ist nicht möglich, mit einem sehbehinderten Verkehrsteilnehmer Blickkontakt aufzunehmen. Daher sind Sie hier zu besonderer Rücksichtnahme verpflichtet. Sie müssen anhalten, um dem Fußgänger ein gefahrloses Überqueren der Fahrbahn zu ermöglichen.",images/1_1_02-036.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-036
Thema 1.1.,Gefahrenlehre,1.1.02 Kapitel,Verhalten Gegenueber Fussgaengern,1.1.02-037,1.1.02-037,3 Punkte,Womit müssen Sie rechnen?,"A. Personen überqueren vor dem Bus die Straße; B. Personen rennen von links über die Straße, um den Bus zu erreichen; C. Der Bus fährt plötzlich rückwärts","A. Personen überqueren vor dem Bus die Straße; B. Personen rennen von links über die Straße, um den Bus zu erreichen","Wo Busse oder Straßenbahnen an Haltestellen warten, müssen Sie stets davon ausgehen, dass hier plötzlich Personen auf die Fahrbahn treten. Manche Fahrgäste rennen schnell über die Straße, um den Bus noch zu erreichen. Beim Aussteigen betreten Personen häufig überraschend die Fahrbahn, ohne auf den Verkehr zu achten. Wegen des nicht leuchtenden Rückfahrscheinwerfers können Sie als nachfolgender Fahrzeugführer grundsätzlich darauf vertrauen, dass der Bus die Haltestelle vorwärtsfahrend verlassen wird.",images/1_1_02-037.png,,https://www.clickclickdrive.de/fragenkatalog/1.1.-gefahrenlehre/1.1.02-verhalten-gegenueber-fussgaengern/1.1.02-037
